Subject,Start Date,End Date
Istruzione NOS h.09.00,2022-11-23T08:30:00+00:00,2022-11-23T09:30:00+00:00
Dentista Matteo Tizzani 1845,2019-05-22T16:00:00+00:00,2019-05-22T16:20:00+00:00
"HackInBo ""Sicurezza all'ombra delle Torri"" Winter Edition 2017",2017-10-14T07:30:00+00:00,2017-10-14T16:00:00+00:00
Assemblea condominiale,2021-11-23T17:00:00+00:00,2021-11-23T18:00:00+00:00
Lella Via Irnerio Visita,2022-01-26T09:30:00+00:00,2022-01-26T10:30:00+00:00
Digital Forensics & Investigations Meeting 2018,2018-06-26T00:00:00+00:00,2018-06-28T00:00:00+00:00
Rif: Re: Re: AUGURI,2015-10-25T17:30:00+00:00,2015-10-25T18:30:00+00:00
HackInBo Spring 2021 - LAB Edition - 16° Edizione,2021-05-29T07:30:00+00:00,2021-05-29T15:00:00+00:00
OSINT DAY,2021-04-30T13:00:00+00:00,2021-04-30T17:00:00+00:00
HackInBo Winter Edition 2021 - 17esima Edizione,2021-11-06T00:00:00+00:00,2021-11-07T00:00:00+00:00
DEFT02 - Open Source Intelligence (OSINT) - Poste Italiane ID PIANO 348858 ID AZIONE 2984302,2023-01-25T09:00:00+01:00,2023-01-25T17:00:00+01:00
Docenza Overnet,2022-04-27T04:30:00+00:00,2022-04-28T05:30:00+00:00
HackInBo® Business Edition Spring 2023,2023-06-09T00:00:00+00:00,2023-06-10T00:00:00+00:00
"HackInBo® ""Sicurezza all'ombra delle Torri"" Spring Edition 2020",2020-05-30T00:00:00+00:00,2020-05-31T00:00:00+00:00
"Viaggio Milano Centrale-Bologna Centrale, Treno InterCityNotte 755, Carr 1, Posti 1C, PNR W7HNVN,  ",2022-07-06T19:15:00+00:00,2022-07-06T21:35:00+00:00
"I: SU DISPOSIZIONE DEL CAPO UFFICIO OPERAZIONI, SI INOLTRA, PER L'EFFETTO, LA NOTA NR. 89415/15 DEL C/DO PROVINCIALE ALLA SEDE.",2015-03-23T08:30:00+00:00,2015-03-23T09:30:00+00:00
Riunione Col Ranieri capo pattuglia GICO,2021-10-28T00:00:00+00:00,2021-10-29T00:00:00+00:00
Check corso OSINT GUCCI e OSINT Anti-Terrorismo BZ,2021-06-21T07:30:00+00:00,2021-06-21T08:30:00+00:00
Check per ultima data CORSO GUCCI,2021-06-17T13:00:00+00:00,2021-06-17T13:30:00+00:00
Milano GTMBS,2022-05-12T04:00:00+00:00,2022-05-12T05:00:00+00:00
Compleanno Matilde Lecca figlia Roberta Asoni,2022-03-15T07:30:00+00:00,2022-03-15T08:30:00+00:00
Tampone per contatti stretti,2021-11-17T12:05:00+00:00,2021-11-17T12:10:00+00:00
Piazza Grande 1400 1500,2022-05-06T10:00:00+00:00,2022-05-06T11:00:00+00:00
HackInBo® Spring Edition 2022 - 18° Edizione,2022-05-28T07:00:00+00:00,2022-05-28T15:00:00+00:00
Stay at Hotel Salis,2022-07-08T00:00:00+00:00,2022-07-10T00:00:00+00:00
OSINT Command-line and Python Tools,2022-08-18T18:00:00+00:00,2022-08-18T18:30:00+00:00
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2018 + LAB",2018-05-26T07:30:00+00:00,2018-05-26T16:30:00+00:00
Re: R: Re: Paris,2015-11-17T18:30:00+00:00,2015-11-17T19:30:00+00:00
1 rata TA.RI,2022-06-30T07:00:00+00:00,2022-06-30T08:00:00+00:00
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2016 + LAB",2016-05-14T07:30:00+00:00,2016-05-14T16:00:00+00:00
R: Fwd: OSINT,2015-07-17T11:30:00+00:00,2015-07-17T12:30:00+00:00
Incontro Col Ranieri T1 capi pattuglia Osint,2022-04-01T07:00:00+00:00,2022-04-01T10:15:00+00:00
Chiamare mirko Pnews Sport chiedere x gomme Dacia 700€,2022-05-26T06:00:00+00:00,2022-05-26T07:00:00+00:00
Presenza qualificata,2022-11-21T07:00:00+00:00,2022-11-21T08:00:00+00:00
Vaccino terza dose hub Cicogna 14.40,2021-12-14T12:30:00+00:00,2021-12-14T13:30:00+00:00
Hackinbo,2022-12-03T10:00:00+00:00,2022-12-03T11:00:00+00:00
Stay at Hotel Ristorante Lewald,2021-06-23T00:00:00+00:00,2021-06-26T00:00:00+00:00
HackInBo - Sicurezza all'ombra delle Torri - Winter Edition,2014-10-11T08:00:00+00:00,2014-10-11T16:00:00+00:00
Analisi stile scrittura e profilazione sociolinguistica,2022-11-28T18:30:00+00:00,2022-11-28T19:00:00+00:00
Riunione GTMBS,2022-05-05T06:00:00+00:00,2022-05-05T08:00:00+00:00
Sky q box sostituzione,2020-10-21T12:30:00+00:00,2020-10-21T13:30:00+00:00
HackInBo Spring Edition 2022 - 18° Edizione,2022-05-28T07:00:00+00:00,2022-05-28T15:00:00+00:00
Molecolare Parco Nord 13.15,2022-01-13T11:00:00+00:00,2022-01-13T12:00:00+00:00
You4b,2021-07-19T19:30:00+00:00,2021-07-19T20:30:00+00:00
"""HackInBo Sicurezza all'ombra delle Torri"" Winter Edition 2016",2016-10-29T07:00:00+00:00,2016-10-29T16:30:00+00:00
Pulizia caldaia H Immergas H 1630,2022-10-07T13:30:00+00:00,2022-10-07T14:30:00+00:00
Incontro con Comandante e capi pattuglia  sala T2 10-12,2022-03-24T08:00:00+00:00,2022-03-24T09:00:00+00:00
HackInBo® Business Edition Spring 2023,2023-06-09T06:15:00+00:00,2023-06-09T15:30:00+00:00
[iisfa] Buon tutto!,2014-12-23T22:00:00+00:00,2014-12-23T23:00:00+00:00
Cittadella - Drone Forensics,2019-05-17T06:30:00+00:00,2019-05-17T15:30:00+00:00
Visita medica Patente,2016-03-30T16:00:00+00:00,2016-03-30T17:00:00+00:00
I nombServizio con Spataro,2022-11-16T05:30:00+00:00,2022-11-16T06:30:00+00:00
Ford Stracciari Villanova,2020-08-04T13:00:00+00:00,2020-08-04T14:00:00+00:00
Nella mente del criminale: cosa spinge al reato?,2022-11-18T13:00:00+00:00,2022-11-19T19:00:00+00:00
Open Source Intelligence: minacce o opportunità?,2022-10-14T13:00:00+00:00,2022-10-14T14:00:00+00:00
CIFIGE Machine Learning su immagini e video,2022-09-27T10:00:00+00:00,2022-09-27T15:15:00+00:00
Tiri a Sassuolo,2022-11-23T00:00:00+00:00,2022-11-24T00:00:00+00:00
DARKWEB ANALYSIS,2019-06-14T06:30:00+00:00,2019-06-14T15:30:00+00:00
"Viaggio Napoli Centrale-Bologna Centrale, Treno Frecciarossa 9662, Carr 6, Posti 2A, 2B, PNR MA4ZBN,  ",2022-07-09T15:25:00+00:00,2022-07-09T18:53:00+00:00
Seconda rata TA.RI,2022-12-01T08:00:00+00:00,2022-12-01T09:00:00+00:00
Volo per Cagliari (FR 3968),2019-01-29T09:30:00+00:00,2019-01-29T10:50:00+00:00
"Tagliando Kia ho ,07.45 ritiro 16.45 riconsegna",2022-03-09T06:30:00+00:00,2022-03-09T15:30:00+00:00
Pagare condomino 2 rata 136,2023-06-18T08:00:00+00:00,2023-06-18T09:00:00+00:00
Imola,2022-05-10T04:00:00+00:00,2022-05-10T05:00:00+00:00
