Event,ST,ET,Remark,Location,Category,Duration,Tag
deftcon 2014,2014-04-11 09:30:00+02:00,2014-04-11 17:00:00+02:00,"for details, link here: https://www.eventbrite.it/e/biglietti-deftcon-2014-10473242751","piazza leonardo da vinci, 32 - 32 piazza leonardo da vinci - edificio 3 - gino cassinis - 20133 milano - italia",broi,7.5,
deftcon 2014,2014-04-11 09:30:00+02:00,2014-04-11 17:00:00+02:00,"for details, link here: https://www.eventbrite.it/e/biglietti-deftcon-2014-10473242751","piazza leonardo da vinci, 32 - 32 piazza leonardo da vinci - edificio 3 - gino cassinis - 20133 milano - italy",broi,7.5,
hackinbo - sicurezza all'ombra delle torri - winter edition,2014-10-11 10:00:00+02:00,2014-10-11 18:00:00+02:00,"for details, link here: https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-winter-edition-12168190385","auditorium ""enzo biagi"" di sala borsa - piazza del nettuno 3 - 40100 bologna - italia",broi,8.0,
[iisfa] buon tutto!,2014-12-23 23:00:00+01:00,2014-12-24 00:00:00+01:00,"l&#39;anno scorso ho mandato la mia mail di addio a iisfa. 
sono rimasto comunque quest&#39;anno per la fiducia che nutro in litiano e mattia. 
ma un canotto, anche se ci sono i fratelli abbagnale ai remi,  non può fermare la deriva di una petroliera. 
quindi mi commiato con una frase suggeritami da uno socio molto più  politically correct di me:
&quot;e&#39; stato bellissimo,  ma ora me ne vo&#39; per altri lidi&quot;. 
buon tutto a tutti e grazie. 
adieu


    
     

    
    __._,_.___

          
  
 

    
     

    
        
        inviato da: andrea ghirardini <darkpila@gmail.com>        
     
     

    
      
        
          
                          rispondi post su web
                      
          &bull;
          
            
               rispondi a mittente            
          
          &bull;
          
            
              rispondi a gruppo            
          
          &bull;
          
            crea nuovo argomento
          
          &bull;
          
                            messaggi sullo stesso tema
                (1)
                      
        
      
    

        






    
      


      www.iisfa.net
@iisfaitalia      


    
  

 




    visita il tuo gruppo

     
                                                    
  



  
   &bull; privacy &bull; annulla iscrizione &bull; condizioni generali di utilizzo del servizio 





   

 
  
  
  



     




     

  .


   

 

__,_._,___",nan,broi,1.0,
[iisfa] buon tutto!,2014-12-23 23:00:00+01:00,2014-12-24 00:00:00+01:00,"l&#39;anno scorso ho mandato la mia mail di addio a iisfa. 
sono rimasto comunque quest&#39;anno per la fiducia che nutro in litiano e mattia. 
ma un canotto, anche se ci sono i fratelli abbagnale ai remi,  non può fermare la deriva di una petroliera. 
quindi mi commiato con una frase suggeritami da uno socio molto più  politically correct di me:
&quot;e&#39; stato bellissimo,  ma ora me ne vo&#39; per altri lidi&quot;. 
buon tutto a tutti e grazie. 
adieu


    
     

    
    __._,_.___

          
  
 

    
     

    
        
        inviato da: andrea ghirardini <darkpila@gmail.com>        
     
     

    
      
        
          
                          rispondi post su web
                      
          &bull;
          
            
               rispondi a mittente            
          
          &bull;
          
            
              rispondi a gruppo            
          
          &bull;
          
            crea nuovo argomento
          
          &bull;
          
                            messaggi sullo stesso tema
                (1)
                      
        
      
    

        






    
      


      www.iisfa.net
@iisfaitalia      


    
  

 




    visita il tuo gruppo

     
                                                    
  



  
   &bull; privacy &bull; annulla iscrizione &bull; condizioni generali di utilizzo del servizio 





   

 
  
  
  



     




     

  .


   

 

__,_._,___",nan,broi,1.0,
"i: su disposizione del capo ufficio operazioni, si inoltra, per l'effetto, la nota nr. 89415/15 del c/do provinciale alla sede.",2015-03-23 09:30:00+01:00,2015-03-23 10:30:00+01:00,"da: barone antonio - mar.a

inviato: sabato 21 marzo 2015 11:42

a: di letizia pio - mar.o; melcarne ippazio - mar.a;
guzzo antonio - app.sc; mozzillo joseph - mar.a; ciccolella daniele - mar.o; mastrolembo giuseppe antonino - lgt; ameli mirko - app.sc; marrocco sandro - mar.o; migliarese luigi - lgt; semeraro giuseppe - mar.c; epis ivo - vbrig; mormile luigi - mar.c

cc: de simone luca - tcl

oggetto: i: su disposizione del capo ufficio operazioni,
si inoltra, per l'effetto, la nota nr. 89415/15 del c/do provinciale alla sede. 




su disposizione del capo ufficio operazioni, inoltro la nota nr. 89415/15 del c/do provinciale
alla sede.



da:
bo123 - protocollo nucleo di polizia tributaria di bologna 

inviato: sabato 21 marzo 2015 11:37

a: epis ivo - vbrig; guzzo antonio - app.sc; marrocco sandro - mar.o; mastrolembo
giuseppe antonino - lgt; melcarne ippazio - mar.a; migliarese luigi - lgt; mormile luigi - mar.c; mozzillo joseph - mar.a; russo giuseppe - app.sc; semeraro giuseppe - mar.c; pizzolante cosimo tommaso - lgt; barone antonio - mar.a; pietropaoli giovanni - mar.a;
simeone giacomo - mar.a; pistolesi alessandro - mar.c; augello daniele - lgt; muscatiello giovanni - lgt

cc: de simone luca - tcl

oggetto: su disposizione del capo ufficio operazioni, si inoltra, per l'effetto,
la nota nr. 89415/15 del c/do provinciale alla sede.",nan,broi,1.0,
r: fwd: osint,2015-07-17 13:30:00+02:00,2015-07-17 14:30:00+02:00,cognome / ragione socialetrudunomeantonellosessomaschiletipo societàcodice fiscaletrdnnl79a30i699kpartita ivadata di nascita30.01.1979comune di nascitasettimo san pietroprovincia di nascitacalocalità estera di nascitastato di nascitaitaliacodice comune di nascitai699codice comune di nascita istat075c.a.p. residenza09040comune di residenzasettimo san pietroprovincia di residenzacavia/piazzaviaindirizzoverdin. civico9frazionestatoitaliacodice comune di residenzai699codice comune residenza istat075indirizzo esterolocalità esteraruolo soggetto4,nan,broi,1.0,
rif: re: re: auguri,2015-10-25 18:30:00+01:00,2015-10-25 19:30:00+01:00,nan,nan,broi,1.0,
re: r: re: paris,2015-11-17 19:30:00+01:00,2015-11-17 20:30:00+01:00,"thanks for your support.erwan2015-11-15 18:23 gmt+01:00  <jm.cierniewski.iacis@gmail.com>:thank you all.jean-marc cierniewskifrench policeman.  de : antonio broi [mailto:broi.antonio@gmail.com] envoyé : dimanche 15 novembre 2015 08:59à : listserv - iacis <listserv@iacis.com>objet : i: r: re: paris we are with our friend and collegue in mind and spirit and are praying for you.  if you need anything you just have to ask. your italian&#39;s brothers.  antonio broi  digital forensicosint programmer atguardia di finanza italy-------- messaggio originale --------da: antonio broi <broi.antonio@gmail.com> data: 15/11/2015 08:55 (gmt+01:00) a: laura soulier <lsoulier21012@gmail.com> oggetto: r: re: paris  we are with our friend and collegue in mind and spirit and are praying for you.  if you need anything you just have to ask. your italian&#39;s brothers.  antonio broi  digital forensicosint programmer atguardia di finanza italy-------- messaggio originale --------da: laura soulier <lsoulier21012@gmail.com> data: 15/11/2015 04:25 (gmt+01:00) a: gene hoffmann <gene.hoffmann@gmail.com>,&quot;<listserv@iacis.com>&quot; <listserv@iacis.com> oggetto: re: paris prier pour vous paris...praying for comfort.... our thoughts and hearts are with you all.... -- detective laura soulier,mobile county sheriff&#39;s officemobile, al251.610.9728https://www.linkedin.com/pub/laura-soulier/46/986/480 http://twitter.com/madambleau4424on nov 14, 2015 21:19, &quot;gene hoffmann&quot; <gene.hoffmann@gmail.com> wrote:thank you very much for your attention.geneviève hoffmanncfcedcpj /sdlc101 rue des trois fontanot92000 nanterrele 14 nov. 2015 22:41, &quot;jason&quot; <jasuntc@gmail.com> a écrit :amen.sent from my iphone> on nov 14, 2015, at 9:44 am, markie <gmarkie@gmail.com> wrote:>> to all our colleagues in france - we are with you in mind and spirit and> are praying for you.  if you need anything you just have to ask.>> --> mark white, cfce> certified computer forensics services, llc> 10824 se oak st, suite 256> milwaukie, oregon 97222> 503-519-9700-- erwan boulioucfce, ceecs, iccoclctic - paris - francenational cybercrime office",nan,broi,1.0,
visita medica patente,2016-03-30 18:00:00+02:00,2016-03-30 19:00:00+02:00,nan,nan,broi,1.0,
