DEFTCON 2014,2014-04-11 07:30:00+00:00,2014-04-11 15:00:00+00:00,"For details, link here: https://www.eventbrite.it/e/biglietti-deftcon-2014-10473242751","Piazza Leonardo Da Vinci, 32 - 32 Piazza Leonardo Da Vinci - Edificio 3 - Gino Cassinis - 20133 Milano - Italia"
DEFTCON 2014,2014-04-11 07:30:00+00:00,2014-04-11 15:00:00+00:00,"For details, link here: https://www.eventbrite.it/e/biglietti-deftcon-2014-10473242751","Piazza Leonardo Da Vinci, 32 - 32 Piazza Leonardo Da Vinci - Edificio 3 - Gino Cassinis - 20133 Milano - Italy"
HackInBo - Sicurezza all'ombra delle Torri - Winter Edition,2014-10-11 08:00:00+00:00,2014-10-11 16:00:00+00:00,"For details, link here: https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-winter-edition-12168190385","Auditorium ""Enzo Biagi"" di Sala Borsa - Piazza del Nettuno 3 - 40100 Bologna - Italia"
[iisfa] Buon tutto!,2014-12-23 22:00:00+00:00,2014-12-23 23:00:00+00:00,"L&#39;anno scorso ho mandato la mia mail di addio a Iisfa. 
Sono rimasto comunque quest&#39;anno per la fiducia che nutro in Litiano e Mattia. 
Ma un canotto, anche se ci sono i fratelli Abbagnale ai remi,  non può fermare la deriva di una petroliera. 
Quindi mi commiato con una frase suggeritami da uno socio molto più  politically correct di me:
&quot;E&#39; STATO bellissimo,  ma ora me ne vo&#39; per altri lidi&quot;. 
Buon tutto a tutti e grazie. 
Adieu


    
     

    
    __._,_.___

          
  
 

    
     

    
        
        Inviato da: Andrea Ghirardini <darkpila@gmail.com>        
     
     

    
      
        
          
                          Rispondi post su web
                      
          &bull;
          
            
               Rispondi a mittente            
          
          &bull;
          
            
              Rispondi a gruppo            
          
          &bull;
          
            Crea nuovo argomento
          
          &bull;
          
                            Messaggi sullo stesso tema
                (1)
                      
        
      
    

        






    
      


      www.iisfa.net
@iisfaitalia      


    
  

 




    Visita il tuo gruppo

     
                                                    
  



  
   &bull; Privacy &bull; Annulla iscrizione &bull; Condizioni generali di utilizzo del servizio 





   

 
  
  
  



     




     

  .


   

 

__,_._,___",
[iisfa] Buon tutto!,2014-12-23 22:00:00+00:00,2014-12-23 23:00:00+00:00,"L&#39;anno scorso ho mandato la mia mail di addio a Iisfa. 
Sono rimasto comunque quest&#39;anno per la fiducia che nutro in Litiano e Mattia. 
Ma un canotto, anche se ci sono i fratelli Abbagnale ai remi,  non può fermare la deriva di una petroliera. 
Quindi mi commiato con una frase suggeritami da uno socio molto più  politically correct di me:
&quot;E&#39; STATO bellissimo,  ma ora me ne vo&#39; per altri lidi&quot;. 
Buon tutto a tutti e grazie. 
Adieu


    
     

    
    __._,_.___

          
  
 

    
     

    
        
        Inviato da: Andrea Ghirardini <darkpila@gmail.com>        
     
     

    
      
        
          
                          Rispondi post su web
                      
          &bull;
          
            
               Rispondi a mittente            
          
          &bull;
          
            
              Rispondi a gruppo            
          
          &bull;
          
            Crea nuovo argomento
          
          &bull;
          
                            Messaggi sullo stesso tema
                (1)
                      
        
      
    

        






    
      


      www.iisfa.net
@iisfaitalia      


    
  

 




    Visita il tuo gruppo

     
                                                    
  



  
   &bull; Privacy &bull; Annulla iscrizione &bull; Condizioni generali di utilizzo del servizio 





   

 
  
  
  



     




     

  .


   

 

__,_._,___",
"I: SU DISPOSIZIONE DEL CAPO UFFICIO OPERAZIONI, SI INOLTRA, PER L'EFFETTO, LA NOTA NR. 89415/15 DEL C/DO PROVINCIALE ALLA SEDE.",2015-03-23 08:30:00+00:00,2015-03-23 09:30:00+00:00,"Da: Barone Antonio - MAR.A

Inviato: sabato 21 marzo 2015 11:42

A: Di Letizia Pio - MAR.O; Melcarne Ippazio - MAR.A;
Guzzo Antonio - APP.SC; Mozzillo Joseph - MAR.A; Ciccolella Daniele - MAR.O; Mastrolembo Giuseppe Antonino - LGT; Ameli Mirko - APP.SC; Marrocco Sandro - MAR.O; Migliarese Luigi - LGT; Semeraro Giuseppe - MAR.C; Epis Ivo - VBRIG; Mormile Luigi - MAR.C

Cc: De Simone Luca - TCL

Oggetto: I: SU DISPOSIZIONE DEL CAPO UFFICIO OPERAZIONI,
SI INOLTRA, PER L'EFFETTO, LA NOTA NR. 89415/15 DEL C/DO PROVINCIALE ALLA SEDE. 




SU DISPOSIZIONE DEL CAPO UFFICIO OPERAZIONI, INOLTRO LA NOTA NR. 89415/15 DEL C/DO PROVINCIALE
ALLA SEDE.



Da:
BO123 - PROTOCOLLO NUCLEO DI POLIZIA TRIBUTARIA DI BOLOGNA 

Inviato: sabato 21 marzo 2015 11:37

A: Epis Ivo - VBRIG; Guzzo Antonio - APP.SC; Marrocco Sandro - MAR.O; Mastrolembo
Giuseppe Antonino - LGT; Melcarne Ippazio - MAR.A; Migliarese Luigi - LGT; Mormile Luigi - MAR.C; Mozzillo Joseph - MAR.A; Russo Giuseppe - APP.SC; Semeraro Giuseppe - MAR.C; Pizzolante Cosimo Tommaso - LGT; Barone Antonio - MAR.A; Pietropaoli Giovanni - MAR.A;
Simeone Giacomo - MAR.A; Pistolesi Alessandro - MAR.C; Augello Daniele - LGT; Muscatiello Giovanni - LGT

Cc: De Simone Luca - TCL

Oggetto: SU DISPOSIZIONE DEL CAPO UFFICIO OPERAZIONI, SI INOLTRA, PER L'EFFETTO,
LA NOTA NR. 89415/15 DEL C/DO PROVINCIALE ALLA SEDE.",
R: Fwd: OSINT,2015-07-17 11:30:00+00:00,2015-07-17 12:30:00+00:00,Cognome / Ragione SocialeTRUDUNomeANTONELLOSessoMASCHILETipo societàCodice FiscaleTRDNNL79A30I699KPartita IVAData di nascita30.01.1979Comune di nascitaSETTIMO SAN PIETROProvincia di nascitaCALocalità estera di nascitaStato di nascitaITALIACodice comune di nascitaI699Codice comune di nascita ISTAT075C.A.P. Residenza09040Comune di residenzaSETTIMO SAN PIETROProvincia di residenzaCAVia/PiazzaVIAIndirizzoVERDIN. Civico9FrazioneStatoITALIACodice comune di residenzaI699Codice comune residenza ISTAT075Indirizzo esteroLocalità esteraRuolo Soggetto4,
Rif: Re: Re: AUGURI,2015-10-25 17:30:00+00:00,2015-10-25 18:30:00+00:00,,
Re: R: Re: Paris,2015-11-17 18:30:00+00:00,2015-11-17 19:30:00+00:00,"Thanks for your support.Erwan2015-11-15 18:23 GMT+01:00  <jm.cierniewski.iacis@gmail.com>:Thank you all.Jean-Marc CierniewskiFrench policeman.  De : Antonio BROI [mailto:broi.antonio@gmail.com] Envoyé : dimanche 15 novembre 2015 08:59À : Listserv - IACIS <listserv@iacis.com>Objet : I: R: Re: Paris We are with our friend and collegue in mind and spirit and are praying for you.  If you need anything you just have to ask. Your Italian&#39;s brothers.  Antonio Broi  Digital ForensicOsint programmer atGuardia di Finanza Italy-------- Messaggio originale --------Da: Antonio BROI <broi.antonio@gmail.com> Data: 15/11/2015 08:55 (GMT+01:00) A: Laura Soulier <lsoulier21012@gmail.com> Oggetto: R: Re: Paris  We are with our friend and collegue in mind and spirit and are praying for you.  If you need anything you just have to ask. Your Italian&#39;s brothers.  Antonio Broi  Digital ForensicOsint programmer atGuardia di Finanza Italy-------- Messaggio originale --------Da: Laura Soulier <lsoulier21012@gmail.com> Data: 15/11/2015 04:25 (GMT+01:00) A: Gene Hoffmann <gene.hoffmann@gmail.com>,&quot;<listserv@iacis.com>&quot; <listserv@iacis.com> Oggetto: Re: Paris Prier pour vous Paris...Praying for comfort.... Our thoughts and hearts are with you all.... -- Detective Laura Soulier,Mobile County Sheriff&#39;s OfficeMobile, AL251.610.9728https://www.linkedin.com/pub/laura-soulier/46/986/480 http://twitter.com/Madambleau4424On Nov 14, 2015 21:19, &quot;Gene Hoffmann&quot; <gene.hoffmann@gmail.com> wrote:Thank you very much for your attention.Geneviève HOFFMANNCFCEDCPJ /SDLC101 rue des trois Fontanot92000 NANTERRELe 14 nov. 2015 22:41, &quot;Jason&quot; <jasuntc@gmail.com> a écrit :Amen.Sent from my iPhone> On Nov 14, 2015, at 9:44 AM, Markie <gmarkie@gmail.com> wrote:>> To all our colleagues in France - we are with you in mind and spirit and> are praying for you.  If you need anything you just have to ask.>> --> Mark White, CFCE> Certified Computer Forensics Services, LLC> 10824 SE Oak St, Suite 256> Milwaukie, Oregon 97222> 503-519-9700-- Erwan BOULIOUCFCE, CEECS, ICCOCLCTIC - Paris - FranceNational Cybercrime Office",
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2016 + LAB",2016-05-14 07:30:00+00:00,2016-05-14 16:00:00+00:00,"Per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app Google Calendar ufficiale. https://g.co/calendar

Questo evento è stato creato a partire da un'email che hai ricevuto in Gmail. https://mail.google.com/mail?extsrc=cal&plid=ACUX6DP4QX-giQJn5mWxJY2N5keLrZ3JsgYg0QM","Boscolo Tower Hotel, Viale Lenin 4340100 Bologna, Bologna, Emilia-Romagna, IT, 40100"
Visita medica Patente,2016-03-30 16:00:00+00:00,2016-03-30 17:00:00+00:00,,
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2016 + LAB",2016-05-14 07:30:00+00:00,2016-05-14 16:00:00+00:00,,"Best Western Plus Tower Hotel  - Viale Lenin 43, Bologna, Emilia-Romagna 40100"
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2016 + LAB",2016-05-14 07:30:00+00:00,2016-05-14 16:00:00+00:00,,"Best Western Plus Tower Hotel  - Viale Lenin 43, Bologna, Emilia-Romagna 40100"
Encase Forensic Roadshow,2016-09-13 07:00:00+00:00,2016-09-13 11:30:00+00:00,"Per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app Google Calendar ufficiale. https://g.co/calendar

Questo evento è stato creato a partire da un'email che hai ricevuto in Gmail. https://mail.google.com/mail?extsrc=cal&plid=ACUX6DMSew2dTw071xCUfIA38dE4bKT9W_FzCrU","Collegio Internazionale Seraphicum, RomeVia del Serafico, 100142 Rome, Rome, Italy, IT, 00142"
